layer_id	layer_name	comp_time	comm_size
0	attention	45839	0
0	moe	146500	6208000
1	attention	45839	0
1	moe	146500	6208000
2	attention	45839	0
2	moe	146500	6208000
3	attention	53616	0
3	moe	146500	6208000
4	attention	45839	0
4	moe	146500	6208000
5	attention	45839	0
5	moe	146500	6208000
6	attention	45839	0
6	moe	146500	6208000
7	attention	53616	0
7	moe	146500	6208000
8	attention	45839	0
8	moe	146500	6208000
9	attention	45839	0
9	moe	146500	6208000
10	attention	45839	0
10	moe	146500	6208000
11	attention	53616	0
11	moe	146500	6208000
12	attention	45839	0
12	moe	146500	6208000
13	attention	45839	0
13	moe	146500	6208000
14	attention	45839	0
14	moe	146500	6208000
15	attention	53616	0
15	moe	146500	6208000
16	attention	45839	0
16	moe	146500	6208000
17	attention	45839	0
17	moe	146500	6208000
18	attention	45839	0
18	moe	146500	6208000
19	attention	53616	0
19	moe	146500	6208000
20	attention	45839	0
20	moe	146500	6208000
21	attention	45839	0
21	moe	146500	6208000
22	attention	45839	0
22	moe	146500	6208000
23	attention	53616	0
23	moe	146500	6208000
24	attention	45839	0
24	moe	146500	6208000
25	attention	45839	0
25	moe	146500	6208000
26	attention	45839	0
26	moe	146500	6208000
27	attention	53616	0
27	moe	146500	6208000
28	attention	45839	0
28	moe	146500	6208000
29	attention	45839	0
29	moe	146500	6208000
30	attention	45839	0
30	moe	146500	6208000
31	attention	53616	0
31	moe	146500	6208000
32	attention	45839	0
32	moe	146500	6208000
33	attention	45839	0
33	moe	146500	6208000
34	attention	45839	0
34	moe	146500	6208000
35	attention	53616	0
35	moe	146500	6208000
36	attention	45839	0
36	moe	146500	6208000
37	attention	45839	0
37	moe	146500	6208000
38	attention	45839	0
38	moe	146500	6208000
39	attention	53616	0
39	moe	146500	6208000
40	attention	45839	0
40	moe	146500	6208000
41	attention	45839	0
41	moe	146500	6208000
42	attention	45839	0
42	moe	146500	6208000
43	attention	53616	0
43	moe	146500	6208000
44	attention	45839	0
44	moe	146500	6208000
45	attention	45839	0
45	moe	146500	6208000
46	attention	45839	0
46	moe	146500	6208000
47	attention	53616	0
47	moe	146500	6208000
