layer_id	layer_name	comp_time	comm_size
0	attention	27045	0
0	moe	47979	62080
1	attention	27045	0
1	moe	47979	62080
2	attention	27045	0
2	moe	47979	62080
3	attention	41999	0
3	moe	47979	62080
4	attention	27045	0
4	moe	47979	62080
5	attention	27045	0
5	moe	47979	62080
6	attention	27045	0
6	moe	47979	62080
7	attention	41999	0
7	moe	47979	62080
8	attention	27045	0
8	moe	47979	62080
9	attention	27045	0
9	moe	47979	62080
10	attention	27045	0
10	moe	47979	62080
11	attention	41999	0
11	moe	47979	62080
12	attention	27045	0
12	moe	47979	62080
13	attention	27045	0
13	moe	47979	62080
14	attention	27045	0
14	moe	47979	62080
15	attention	41999	0
15	moe	47979	62080
16	attention	27045	0
16	moe	47979	62080
17	attention	27045	0
17	moe	47979	62080
18	attention	27045	0
18	moe	47979	62080
19	attention	41999	0
19	moe	47979	62080
20	attention	27045	0
20	moe	47979	62080
21	attention	27045	0
21	moe	47979	62080
22	attention	27045	0
22	moe	47979	62080
23	attention	41999	0
23	moe	47979	62080
24	attention	27045	0
24	moe	47979	62080
25	attention	27045	0
25	moe	47979	62080
26	attention	27045	0
26	moe	47979	62080
27	attention	41999	0
27	moe	47979	62080
28	attention	27045	0
28	moe	47979	62080
29	attention	27045	0
29	moe	47979	62080
30	attention	27045	0
30	moe	47979	62080
31	attention	41999	0
31	moe	47979	62080
32	attention	27045	0
32	moe	47979	62080
33	attention	27045	0
33	moe	47979	62080
34	attention	27045	0
34	moe	47979	62080
35	attention	41999	0
35	moe	47979	62080
36	attention	27045	0
36	moe	47979	62080
37	attention	27045	0
37	moe	47979	62080
38	attention	27045	0
38	moe	47979	62080
39	attention	41999	0
39	moe	47979	62080
40	attention	27045	0
40	moe	47979	62080
41	attention	27045	0
41	moe	47979	62080
42	attention	27045	0
42	moe	47979	62080
43	attention	41999	0
43	moe	47979	62080
44	attention	27045	0
44	moe	47979	62080
45	attention	27045	0
45	moe	47979	62080
46	attention	27045	0
46	moe	47979	62080
47	attention	41999	0
47	moe	47979	62080
