layer_id	layer_name	comp_time	comm_size
0	attention	26930	0
0	moe	132351	62080
1	attention	26930	0
1	moe	132351	62080
2	attention	26930	0
2	moe	132351	62080
3	attention	41834	0
3	moe	132351	62080
4	attention	26930	0
4	moe	132351	62080
5	attention	26930	0
5	moe	132351	62080
6	attention	26930	0
6	moe	132351	62080
7	attention	41834	0
7	moe	132351	62080
8	attention	26930	0
8	moe	132351	62080
9	attention	26930	0
9	moe	132351	62080
10	attention	26930	0
10	moe	132351	62080
11	attention	41834	0
11	moe	132351	62080
12	attention	26930	0
12	moe	132351	62080
13	attention	26930	0
13	moe	132351	62080
14	attention	26930	0
14	moe	132351	62080
15	attention	41834	0
15	moe	132351	62080
16	attention	26930	0
16	moe	132351	62080
17	attention	26930	0
17	moe	132351	62080
18	attention	26930	0
18	moe	132351	62080
19	attention	41834	0
19	moe	132351	62080
20	attention	26930	0
20	moe	132351	62080
21	attention	26930	0
21	moe	132351	62080
22	attention	26930	0
22	moe	132351	62080
23	attention	41834	0
23	moe	132351	62080
24	attention	26930	0
24	moe	132351	62080
25	attention	26930	0
25	moe	132351	62080
26	attention	26930	0
26	moe	132351	62080
27	attention	41834	0
27	moe	132351	62080
28	attention	26930	0
28	moe	132351	62080
29	attention	26930	0
29	moe	132351	62080
30	attention	26930	0
30	moe	132351	62080
31	attention	41834	0
31	moe	132351	62080
32	attention	26930	0
32	moe	132351	62080
33	attention	26930	0
33	moe	132351	62080
34	attention	26930	0
34	moe	132351	62080
35	attention	41834	0
35	moe	132351	62080
36	attention	26930	0
36	moe	132351	62080
37	attention	26930	0
37	moe	132351	62080
38	attention	26930	0
38	moe	132351	62080
39	attention	41834	0
39	moe	132351	62080
40	attention	26930	0
40	moe	132351	62080
41	attention	26930	0
41	moe	132351	62080
42	attention	26930	0
42	moe	132351	62080
43	attention	41834	0
43	moe	132351	62080
44	attention	26930	0
44	moe	132351	62080
45	attention	26930	0
45	moe	132351	62080
46	attention	26930	0
46	moe	132351	62080
47	attention	41834	0
47	moe	132351	62080
